	AC	AL	DE	DR	EN	GS	ID	LENG	NC	TC
TIGR04313	TIGR04313	muscle_manual	aromatic cluster surface protein	NA	aromatic cluster surface protein	NA	aro_clust_Mycop	296	28.50 26.00	40.00 28.00
TIGR02589	TIGR02589	clustalw	CRISPR-associated protein Cas7/Csd2, subtype I-C/DVULG	URL	CRISPR-associated protein Cas7/Csd2, subtype I-C/DVULG	cas7	cas_Csd2	284	142.75 142.75	182.25 182.25
TIGR03997	TIGR03997	muscle_manual	mycofactocin system FadH/OYE family oxidoreductase 2	NA	mycofactocin system FadH/OYE family oxidoreductase 2	NA	mycofact_OYE_2	645	636.60 636.60	793.15 793.15
TIGR01080	TIGR01080	clustalw	ribosomal protein L24	HAMAP; MF_01326; 43 of 649	ribosomal protein L24p/L26e, archaeal/eukaryotic	rplX	rplX_A_E	116	37.55 37.55	47.65 47.65
TIGR03818	TIGR03818	muscle	flagellar motor stator protein MotA	NA	flagellar motor stator protein MotA	motA	MotA1	282	277.10 277.10	303.80 303.80
TIGR01839	TIGR01839	clustalw_manual	poly(R)-hydroxyalkanoic acid synthase, class II	NA	poly(R)-hydroxyalkanoic acid synthase, class II	phaC	PHA_synth_II	560	469.95 469.95	855.40 855.40
TIGR01292	TIGR01292	clustalw_manual	thioredoxin-disulfide reductase	PFAM; pyr_redox; Pyridine nucleotide-disulphide oxidoreductase	thioredoxin-disulfide reductase	trxB	TRX_reduct	300	285.50 285.50	343.45 343.45
TIGR02348	TIGR02348	clustalw	chaperonin GroL	HAMAP; MF_00600; 808 of 844	chaperonin GroL	groL	GroEL	526	306.80 306.80	582.10 582.10
TIGR04023	TIGR04023	muscle_manual	PPOX class probable F420-dependent enzyme, MSMEG_5819 family	NA	PPOX class probable F420-dependent enzyme, MSMEG_5819 family	NA	PPOX_MSMEG_5819	115	61.50 61.50	85.60 85.60
TIGR00263	TIGR00263	clustalw	tryptophan synthase, beta subunit	HAMAP; MF_00133; 288 of 315	tryptophan synthase, beta subunit	trpB	trpB	385	220.75 220.75	392.45 392.45
TIGR01560	TIGR01560	clustalw_manual	uncharacterized phage protein (possible DNA packaging)	NA	uncharacterized phage protein (possible DNA packaging)	NA	put_DNA_pack	91	26.00 26.00	26.35 26.35
TIGR04341	TIGR04341	muscle_manual	ACGX-repeat peptide	NA	ACGX-repeat peptide	acgA	target_ACGX	65	24.00 24.00	28.00 28.00
TIGR02620	TIGR02620	clustalw	putative CRISPR-associated protein, VVA1548 family	NA	putative CRISPR-associated protein, VVA1548 family	csx16	cas_VVA1548	93	19.70 19.70	46.35 46.35
TIGR02452	TIGR02452	clustalw	TIGR02452 family protein	NA	TIGR02452 family protein	NA	TIGR02452	266	30.00 30.00	50.00 50.00
TIGR00589	TIGR00589	NA	methylated-DNA-[protein]-cysteine S-methyltransferase	HAMAP; MF_00772; 16 of 16	O-6-methylguanine DNA methyltransferase	NA	ogt	80	42.95 42.95	46.40 46.40
